player_id,web_name,full_name,team_id,team_name,position,now_cost,status,selected_percent,form,points_per_game,total_points,minutes_season,ict_index,influence,creativity,threat,chance_play_next,gw_xmins,gw_fixture,gw_fdr,gw_is_home,news,news_added,gw,generated_utc
24,Nørgaard,Christian Nørgaard,1,Arsenal,MID,52,a,0.1,0.5,1.0,2,14,1.4,6.4,0.1,7.0,100.0,80.0,Sunderland (A),3,0,,2025-08-18T08:00:05.297235Z,11,2025-11-14T06:38:28.636215
25,Nwaneri,Ethan Nwaneri,1,Arsenal,MID,51,a,0.1,0.2,1.4,7,163,5.4,8.4,22.4,24.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
26,Zubimendi,Martín Zubimendi Ibáñez,1,Arsenal,MID,54,a,2.9,4.0,4.4,48,937,45.7,214.6,168.9,73.0,100.0,80.0,Sunderland (A),3,0,,2025-11-01T18:30:07.784912Z,11,2025-11-14T06:38:28.636215
28,Kabia,Ismeal Kabia,1,Arsenal,MID,45,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland (A),3,0,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,11,2025-11-14T06:38:28.636215
29,Sambi,Albert Sambi Lokonga,1,Arsenal,MID,45,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland (A),3,0,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,11,2025-11-14T06:38:28.636215
30,Havertz,Kai Havertz,1,Arsenal,FWD,73,i,0.3,0.0,1.0,1,30,0.6,2.8,0.8,2.0,0.0,0.0,Sunderland (A),3,0,Knee injury - Expected back 23 Nov,2025-08-20T13:00:06.498911Z,11,2025-11-14T06:38:28.636215
31,G.Jesus,Gabriel Fernando de Jesus,1,Arsenal,FWD,64,i,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland (A),3,0,Knee injury - Expected back 23 Nov,2025-07-21T10:00:04.697564Z,11,2025-11-14T06:38:28.636215
266,Eze,Eberechi Eze,1,Arsenal,MID,76,a,13.5,4.8,4.1,41,700,43.4,127.0,104.9,202.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
662,Mosquera,Cristhian Mosquera,1,Arsenal,DEF,54,a,0.2,0.5,2.0,14,294,9.0,67.4,13.9,8.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
666,Gyökeres,Viktor Gyökeres,1,Arsenal,FWD,89,d,13.6,2.8,3.7,37,801,57.7,158.6,106.9,312.0,25.0,20.0,Sunderland (A),3,0,Muscle injury - 25% chance of playing,2025-11-01T18:00:08.847750Z,11,2025-11-14T06:38:28.636215
700,Dowman,Max Dowman,1,Arsenal,MID,43,a,0.4,0.0,2.5,5,27,2.8,1.0,0.8,26.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
711,Harriman-Annous,Andre Harriman-Annous,1,Arsenal,MID,45,a,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
725,Hincapie,Piero Hincapié,1,Arsenal,DEF,54,a,0.0,0.5,1.0,2,26,0.1,0.8,0.6,0.0,100.0,80.0,Sunderland (A),3,0,,2025-09-24T06:00:06.296709Z,11,2025-11-14T06:38:28.636215
32,Martinez,Emiliano Martínez Romero,2,Aston Villa,GK,50,a,2.4,6.2,4.4,40,810,18.2,179.8,3.0,0.0,100.0,80.0,Bournemouth (H),3,1,,2025-10-03T14:00:08.570704Z,11,2025-11-14T06:38:28.636215
33,M.Bizot,Marco Bizot,2,Aston Villa,GK,43,a,0.5,0.0,3.5,7,180,2.6,25.4,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
34,Gauci,Joe Gauci,2,Aston Villa,GK,40,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,11,2025-11-14T06:38:28.636215
35,Marschall,Filip Marschall,2,Aston Villa,GK,40,u,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,11,2025-11-14T06:38:28.636215
